,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
85,2023-12-04 13:00:00,7.2,,,,,,1,33,57,150
86,2023-12-04 14:00:00,5.5,,,,,,1,32,61,166
87,2023-12-04 15:00:00,4.5,,,,,,2,31,67,218
88,2023-12-04 16:00:00,6.8,,,,,,1,29,74,147
89,2023-12-04 17:00:00,8.8,,,,,,1,29,77,150
90,2023-12-04 18:00:00,7.9,,,,,,1,28,79,117
91,2023-12-04 19:00:00,10.7,,,,,,1,28,79,107
92,2023-12-04 20:00:00,10.1,,,,,,1,28,81,118
93,2023-12-04 21:00:00,9.9,,,,,,1,28,82,109
94,2023-12-04 22:00:00,8.9,,,,,,1,28,81,95
95,2023-12-04 23:00:00,9.3,,,,,,1,28,82,98
96,2023-12-05 00:00:00,8.1,,,,,,1,27,83,87
97,2023-12-05 01:00:00,8.8,,,,,,1,27,82,99
98,2023-12-05 02:00:00,8.6,,,,,,0,27,83,108
99,2023-12-05 03:00:00,6.7,,,,,,0,27,84,114
100,2023-12-05 04:00:00,6.4,,,,,,1,27,86,112
101,2023-12-05 05:00:00,9.0,,,,,,0,27,87,108
102,2023-12-05 06:00:00,8.4,,,,,,0,27,89,111
103,2023-12-05 07:00:00,10.0,,,,,,1,28,82,114
104,2023-12-05 08:00:00,7.5,,,,,,1,29,75,100
105,2023-12-05 09:00:00,12.4,,,,,,1,30,72,107
106,2023-12-05 10:00:00,11.4,,,,,,1,31,65,131
107,2023-12-05 11:00:00,9.7,,,,,,1,32,59,125
108,2023-12-05 12:00:00,8.6,,,,,,1,32,58,170
109,2023-12-05 13:00:00,10.4,,,,,,1,32,59,197
110,2023-12-05 14:00:00,9.1,,5.0,,,,1,31,61,151
111,2023-12-05 15:00:00,5.4,,14.0,,,,1,31,65,143
112,2023-12-05 16:00:00,10.2,,21.0,,,,1,30,69,141
113,2023-12-05 17:00:00,10.6,,5.0,,,,1,29,74,125
114,2023-12-05 18:00:00,10.8,,0.0,,,,1,28,79,110
115,2023-12-05 19:00:00,16.7,,0.0,,,,0,28,81,108
116,2023-12-05 20:00:00,19.2,,5.0,,,,0,28,83,109
117,2023-12-05 21:00:00,20.1,,1.0,,,,1,27,87,107
118,2023-12-05 22:00:00,20.4,,5.0,,,,1,27,92,106
119,2023-12-05 23:00:00,13.8,,1.0,,,,0,26,97,106
120,2023-12-06 00:00:00,13.3,,0.0,,,,0,26,97,112
121,2023-12-06 01:00:00,12.3,,0.0,,,,0,26,96,112
122,2023-12-06 02:00:00,13.9,,4.0,,,,0,26,97,111
123,2023-12-06 03:00:00,11.2,,1.0,,,,0,26,96,111
124,2023-12-06 04:00:00,10.4,,0.0,,,,0,25,96,107
125,2023-12-06 05:00:00,12.9,,1.0,,,,0,25,97,108
126,2023-12-06 06:00:00,14.4,,1.0,,,,0,25,98,103
127,2023-12-06 07:00:00,18.5,,0.0,,,,0,26,96,111
128,2023-12-06 08:00:00,19.2,,2.0,,,,1,28,82,116
129,2023-12-06 09:00:00,11.3,,,,,,1,30,72,127
130,2023-12-06 10:00:00,9.6,,4.0,,,,1,31,60,129
131,2023-12-06 11:00:00,16.0,,16.0,,,,1,32,58,166
132,2023-12-06 12:00:00,8.4,,20.0,,,,1,32,59,139
133,2023-12-06 13:00:00,7.4,,1.0,,,,1,32,55,131
134,2023-12-06 14:00:00,7.4,,1.0,,,,1,33,53,143
135,2023-12-06 15:00:00,8.1,,18.0,,,,1,32,55,154
136,2023-12-06 16:00:00,9.8,,,,,,1,31,59,145
137,2023-12-06 17:00:00,12.0,,1.0,,,,1,30,66,144
138,2023-12-06 18:00:00,14.2,,0.0,,,,1,29,73,145
139,2023-12-06 19:00:00,12.8,,0.0,,,,1,28,75,146
140,2023-12-06 20:00:00,13.5,,12.0,,,,1,28,75,128
141,2023-12-06 21:00:00,14.7,,10.0,,,,1,28,80,114
142,2023-12-06 22:00:00,19.1,,2.0,,,,1,27,82,113
143,2023-12-06 23:00:00,18.7,,3.0,,,,0,27,84,108
144,2023-12-07 00:00:00,13.5,,0.0,,,,0,27,86,111
145,2023-12-07 01:00:00,15.7,,0.0,,,,1,26,89,109
146,2023-12-07 02:00:00,16.9,,3.0,,,,0,26,92,109
147,2023-12-07 03:00:00,14.1,,1.0,,,,0,26,91,121
148,2023-12-07 04:00:00,12.6,,1.0,,,,1,26,86,114
149,2023-12-07 05:00:00,10.2,,0.0,,,,0,26,89,106
150,2023-12-07 06:00:00,9.3,,0.0,,,,0,26,87,105
151,2023-12-07 07:00:00,9.1,,0.0,,,,0,26,87,109
152,2023-12-07 08:00:00,10.3,,1.0,,,,1,28,82,106
153,2023-12-07 09:00:00,15.6,,7.0,,,,1,29,76,98
154,2023-12-07 10:00:00,13.8,,,,,,1,27,85,147
155,2023-12-07 11:00:00,11.6,,4.0,,,,1,25,99,87
156,2023-12-07 12:00:00,9.7,,1.0,,,,1,26,94,111
157,2023-12-07 13:00:00,9.3,,0.0,,,,1,28,81,117
158,2023-12-07 14:00:00,11.1,,13.0,,,,1,28,82,121
159,2023-12-07 15:00:00,11.4,,6.0,,,,1,28,79,123
160,2023-12-07 16:00:00,9.7,,4.0,,,,1,28,78,117
161,2023-12-07 17:00:00,14.6,,1.0,,,,1,27,82,119
162,2023-12-07 18:00:00,10.0,,2.0,,,,0,27,84,112
163,2023-12-07 19:00:00,8.5,,1.0,,,,1,26,88,111
164,2023-12-07 20:00:00,13.5,,4.0,,,,0,26,90,109
165,2023-12-07 21:00:00,12.6,,3.0,,,,1,27,81,115
166,2023-12-07 22:00:00,8.4,,2.0,,,,0,26,83,105
167,2023-12-07 23:00:00,7.4,,0.0,,,,1,27,80,97
168,2023-12-08 00:00:00,9.9,,0.0,,,,1,26,81,93
169,2023-12-08 01:00:00,14.9,,0.0,,,,0,26,83,96
170,2023-12-08 02:00:00,10.0,,1.0,,,,0,26,89,100
171,2023-12-08 03:00:00,9.1,,2.0,,,,0,25,92,93
172,2023-12-08 04:00:00,13.8,,,,,,0,25,93,102
173,2023-12-08 05:00:00,12.6,,0.0,,,,0,25,95,106
174,2023-12-08 06:00:00,16.3,,0.0,,,,0,25,96,106
175,2023-12-08 07:00:00,18.9,,0.0,,,,0,26,92,109
176,2023-12-08 08:00:00,18.2,,12.0,,,,1,29,73,128
177,2023-12-08 09:00:00,10.1,,10.0,,,,1,30,65,109
178,2023-12-08 10:00:00,8.5,,14.0,,,,0,31,59,167
179,2023-12-08 11:00:00,10.3,,,,,,0,32,56,189
180,2023-12-08 12:00:00,13.4,,29.0,,,,1,32,55,186
181,2023-12-08 13:00:00,11.1,,29.0,,,,1,32,56,182
182,2023-12-08 14:00:00,9.4,,8.0,,,,1,32,56,153
183,2023-12-08 15:00:00,10.5,,17.0,,,,1,32,57,158
184,2023-12-08 16:00:00,12.0,,4.0,,,,1,31,60,138
185,2023-12-08 17:00:00,12.5,,0.0,,,,1,30,66,125
186,2023-12-08 18:00:00,11.8,,0.0,,,,1,29,71,128
187,2023-12-08 19:00:00,13.7,,1.0,,,,1,29,73,117
188,2023-12-08 20:00:00,16.2,,15.0,,,,1,28,74,119
189,2023-12-08 21:00:00,11.0,,23.0,,,,1,28,75,107
190,2023-12-08 22:00:00,11.5,,1.0,,,,1,28,76,102
191,2023-12-08 23:00:00,14.2,,1.0,,,,1,28,78,103
192,2023-12-09 00:00:00,18.5,,1.0,,,,1,28,79,105
193,2023-12-09 01:00:00,13.9,,1.0,,,,1,28,80,109
194,2023-12-09 02:00:00,11.1,,21.0,,,,1,27,80,109
195,2023-12-09 03:00:00,9.9,,0.0,,,,1,27,82,108
196,2023-12-09 04:00:00,10.8,,9.0,,,,1,27,83,109
197,2023-12-09 05:00:00,11.8,,0.0,,,,1,27,82,109
198,2023-12-09 06:00:00,13.0,,1.0,,,,0,27,84,103
199,2023-12-09 07:00:00,15.8,,6.0,,,,1,28,81,96
200,2023-12-09 08:00:00,13.9,,26.0,,,,1,29,72,116
201,2023-12-09 09:00:00,11.6,,2.0,,,,1,30,68,123
202,2023-12-09 10:00:00,14.1,,13.0,,,,1,31,61,141
203,2023-12-09 11:00:00,13.8,,15.0,,,,1,32,55,130
204,2023-12-09 12:00:00,12.9,,,,,,0,33,54,150
205,2023-12-09 13:00:00,14.1,,32.0,,,,1,33,49,159
206,2023-12-09 14:00:00,11.1,,2.0,,,,1,33,50,129
207,2023-12-09 15:00:00,10.6,,12.0,,,,1,33,51,131
208,2023-12-09 16:00:00,12.0,,1.0,,,,1,32,50,124
209,2023-12-09 17:00:00,13.4,,1.0,,,,1,30,57,139
210,2023-12-09 18:00:00,16.7,,1.0,,,,1,29,64,159
211,2023-12-09 19:00:00,13.2,,0.0,,,,1,29,67,161
212,2023-12-09 20:00:00,12.1,,2.0,,,,1,28,72,128
213,2023-12-09 21:00:00,13.8,,2.0,,,,1,28,74,112
214,2023-12-09 22:00:00,16.9,,14.0,,,,1,28,76,108
215,2023-12-09 23:00:00,20.5,,0.0,,,,0,27,79,105
216,2023-12-10 00:00:00,24.8,,0.0,,,,0,27,81,105
217,2023-12-10 01:00:00,24.1,,0.0,,,,1,27,81,96
218,2023-12-10 02:00:00,20.2,,1.0,,,,1,27,82,97
219,2023-12-10 03:00:00,18.3,,8.0,,,,1,27,82,105
220,2023-12-10 04:00:00,15.1,,0.0,,,,1,26,87,108
221,2023-12-10 05:00:00,15.8,,0.0,,,,1,26,91,113
222,2023-12-10 06:00:00,17.6,,0.0,,,,0,26,93,109
223,2023-12-10 07:00:00,14.9,,6.0,,,,1,27,90,110
224,2023-12-10 08:00:00,14.5,,5.0,,,,1,27,85,110
225,2023-12-10 09:00:00,15.7,,13.0,,,,1,29,77,100
226,2023-12-10 10:00:00,15.8,,9.0,,,,1,30,71,113
227,2023-12-10 11:00:00,15.3,,35.0,,,,2,31,63,128
228,2023-12-10 12:00:00,12.2,,23.0,,,,1,32,57,137
229,2023-12-10 13:00:00,12.8,,,,,,1,33,53,140
230,2023-12-10 14:00:00,11.1,,35.0,,,,1,33,53,137
231,2023-12-10 15:00:00,15.1,,5.0,,,,1,32,56,144
232,2023-12-10 16:00:00,14.1,,19.0,,,,1,31,61,180
233,2023-12-10 17:00:00,11.9,,0.0,,,,1,30,67,144
234,2023-12-10 18:00:00,14.2,,0.0,,,,1,29,73,113
235,2023-12-10 19:00:00,15.9,,1.0,,,,1,28,77,115
236,2023-12-10 20:00:00,17.4,,16.0,,,,1,28,79,110
237,2023-12-10 21:00:00,20.8,,1.0,,,,1,28,82,108
238,2023-12-10 22:00:00,21.1,,13.0,,,,0,27,84,108
239,2023-12-10 23:00:00,22.5,,0.0,,,,0,27,86,109
240,2023-12-11 00:00:00,25.8,,1.0,,,,0,27,88,106
241,2023-12-11 01:00:00,20.9,,0.0,,,,0,27,89,106
242,2023-12-11 02:00:00,21.2,,1.0,,,,0,26,90,100
243,2023-12-11 03:00:00,22.9,,1.0,,,,0,26,90,101
244,2023-12-11 04:00:00,18.7,,0.0,,,,0,26,91,107
245,2023-12-11 05:00:00,20.9,,0.0,,,,0,26,92,108
246,2023-12-11 06:00:00,21.1,,0.0,,,,0,26,92,108
247,2023-12-11 07:00:00,23.3,,3.0,,,,0,27,89,107
248,2023-12-11 08:00:00,24.6,,3.0,,,,1,29,77,111
249,2023-12-11 09:00:00,23.6,,24.0,,,,1,30,69,134
250,2023-12-11 10:00:00,18.4,,9.0,,,,1,30,68,133
251,2023-12-11 11:00:00,17.1,,9.0,,,,1,30,66,153
252,2023-12-11 12:00:00,18.6,,2.0,,,,2,29,74,133
253,2023-12-11 13:00:00,15.3,,0.0,,,,1,31,63,184
254,2023-12-11 14:00:00,13.9,,,,,,1,32,59,165
255,2023-12-11 15:00:00,12.6,,25.0,,,,1,31,60,201
256,2023-12-11 16:00:00,14.1,,1.0,,,,1,31,65,135
257,2023-12-11 17:00:00,15.4,,0.0,,,,2,29,71,126
258,2023-12-11 18:00:00,15.5,,0.0,,,,1,28,84,120
259,2023-12-11 19:00:00,21.4,,2.0,,,,1,27,91,110
260,2023-12-11 20:00:00,20.5,,7.0,,,,1,27,90,111
261,2023-12-11 21:00:00,23.9,,3.0,,,,1,27,89,115
262,2023-12-11 22:00:00,25.9,,14.0,,,,1,28,81,134
263,2023-12-11 23:00:00,24.8,,0.0,,,,1,28,78,165
264,2023-12-12 00:00:00,24.1,,1.0,,,,1,28,74,147
265,2023-12-12 01:00:00,18.4,,0.0,,,,1,28,75,185
266,2023-12-12 02:00:00,15.8,,1.0,,,,1,28,75,200
267,2023-12-12 03:00:00,15.1,,2.0,,,,1,27,74,135
268,2023-12-12 04:00:00,19.0,,9.0,,,,1,27,74,144
269,2023-12-12 05:00:00,18.2,,0.0,,,,1,27,74,187
270,2023-12-12 06:00:00,18.3,,0.0,,,,1,27,74,152
271,2023-12-12 07:00:00,16.6,,1.0,,,,1,28,73,137
272,2023-12-12 08:00:00,12.2,,1.0,,,,1,30,68,124
273,2023-12-12 09:00:00,17.0,,15.0,,,,1,30,65,145
274,2023-12-12 10:00:00,15.6,,10.0,,,,1,31,61,213
275,2023-12-12 11:00:00,16.9,,2.0,,,,1,32,56,202
276,2023-12-12 12:00:00,14.8,,3.0,,,,1,32,54,228
277,2023-12-12 13:00:00,14.5,,11.0,,,,2,32,54,237
278,2023-12-12 14:00:00,13.8,,8.0,,,,2,31,56,237
279,2023-12-12 15:00:00,11.9,,,,,,2,31,56,236
280,2023-12-12 16:00:00,16.1,,23.0,,,,1,30,62,223
281,2023-12-12 17:00:00,13.9,,23.0,,,,1,29,69,197
282,2023-12-12 18:00:00,14.1,,23.0,,,,1,28,72,152
283,2023-12-12 19:00:00,16.3,,22.0,,,,1,28,72,155
284,2023-12-12 20:00:00,19.1,,12.0,,,,1,28,72,189
285,2023-12-12 21:00:00,20.4,,2.0,,,,1,28,72,143
286,2023-12-12 22:00:00,18.1,,0.0,,,,1,28,73,128
287,2023-12-12 23:00:00,17.5,,1.0,,,,0,27,78,104
288,2023-12-13 00:00:00,24.3,,0.0,,,,0,27,79,105
289,2023-12-13 01:00:00,19.2,,0.0,,,,0,27,82,106
290,2023-12-13 02:00:00,19.0,,5.0,,,,0,26,86,108
291,2023-12-13 03:00:00,19.2,,2.0,,,,0,26,89,107
292,2023-12-13 04:00:00,22.7,,,,,,0,26,90,105
293,2023-12-13 05:00:00,23.5,,0.0,,,,0,26,90,105
294,2023-12-13 06:00:00,23.5,,1.0,,,,1,26,89,89
295,2023-12-13 07:00:00,24.3,,1.0,,,,0,26,90,106
296,2023-12-13 08:00:00,25.0,,9.0,,,,1,29,77,112
297,2023-12-13 09:00:00,20.3,,16.0,,,,1,28,82,135
298,2023-12-13 10:00:00,18.4,,11.0,,,,1,27,88,109
299,2023-12-13 11:00:00,18.2,,1.0,,,,1,28,83,116
300,2023-12-13 12:00:00,17.4,,0.0,,,,1,28,82,111
301,2023-12-13 13:00:00,17.5,,3.0,,,,1,28,81,160
302,2023-12-13 14:00:00,15.4,,10.0,,,,1,28,78,139
303,2023-12-13 15:00:00,16.9,,1.0,,,,1,27,83,175
304,2023-12-13 16:00:00,17.3,,,,,,1,26,89,139
305,2023-12-13 17:00:00,16.1,,0.0,,,,1,27,88,106
306,2023-12-13 18:00:00,12.9,,0.0,,,,1,27,88,131
307,2023-12-13 19:00:00,13.3,,2.0,,,,1,27,82,129
308,2023-12-13 20:00:00,14.5,,2.0,,,,1,28,77,230
309,2023-12-13 21:00:00,14.7,,10.0,,,,1,28,79,159
310,2023-12-13 22:00:00,14.5,,11.0,,,,0,26,87,183
311,2023-12-13 23:00:00,12.6,,1.0,,,,1,25,92,98
312,2023-12-14 00:00:00,13.5,,0.0,,,,1,25,92,101
313,2023-12-14 01:00:00,23.2,,,,,,1,25,95,109
314,2023-12-14 02:00:00,15.8,,144.0,,,,1,26,85,165
315,2023-12-14 03:00:00,10.5,,105.0,,,,1,28,77,190
316,2023-12-14 04:00:00,13.2,,2.0,,,,1,28,77,164
317,2023-12-14 05:00:00,13.7,,0.0,,,,1,28,77,158
318,2023-12-14 06:00:00,11.1,,1.0,,,,1,28,77,185
319,2023-12-14 07:00:00,12.0,,12.0,,,,1,28,81,136
320,2023-12-14 08:00:00,13.2,,1.0,,,,1,27,87,128
321,2023-12-14 09:00:00,11.1,,15.0,,,,1,28,81,186
322,2023-12-14 10:00:00,11.8,,20.0,,,,1,30,73,170
323,2023-12-14 11:00:00,9.0,,21.0,,,,1,30,67,202
324,2023-12-14 12:00:00,8.9,,21.0,,,,1,30,67,164
325,2023-12-14 13:00:00,11.5,,7.0,,,,1,30,70,147
326,2023-12-14 14:00:00,10.6,,12.0,,,,1,29,72,173
327,2023-12-14 15:00:00,16.1,,22.0,,,,1,28,79,158
328,2023-12-14 16:00:00,15.9,,6.0,,,,1,27,88,178
329,2023-12-14 17:00:00,17.4,,,,,,1,27,86,146
330,2023-12-14 18:00:00,18.9,,1.0,,,,1,27,85,154
331,2023-12-14 19:00:00,15.4,,0.0,,,,1,27,88,183
332,2023-12-14 20:00:00,14.5,,5.0,,,,1,27,86,158
333,2023-12-14 21:00:00,14.3,,13.0,,,,1,27,87,128
334,2023-12-14 22:00:00,16.4,,1.0,,,,1,27,86,158
335,2023-12-14 23:00:00,17.7,,0.0,,,,1,27,85,149
336,2023-12-15 00:00:00,13.4,,0.0,,,,1,27,86,131
337,2023-12-15 01:00:00,10.7,,21.0,,,,1,27,88,145
338,2023-12-15 02:00:00,11.4,,22.0,,,,1,27,86,140
339,2023-12-15 03:00:00,12.2,,9.0,,,,1,27,88,142
340,2023-12-15 04:00:00,12.1,,2.0,,,,1,26,91,144
341,2023-12-15 05:00:00,10.8,,0.0,,,,0,25,98,141
342,2023-12-15 06:00:00,11.2,,1.0,,,,1,26,91,178
343,2023-12-15 07:00:00,10.0,,2.0,,,,1,25,98,96
344,2023-12-15 08:00:00,12.0,,3.0,,,,1,26,96,110
345,2023-12-15 09:00:00,11.1,,9.0,,,,1,28,83,162
346,2023-12-15 10:00:00,12.7,,0.0,,,,1,28,83,215
347,2023-12-15 11:00:00,16.5,,0.0,,,,1,26,93,218
348,2023-12-15 12:00:00,14.6,,1.0,,,,1,26,93,139
349,2023-12-15 13:00:00,13.8,,3.0,,,,1,27,85,145
350,2023-12-15 14:00:00,12.9,,3.0,,,,1,28,81,135
351,2023-12-15 15:00:00,14.3,,5.0,,,,1,28,79,133
352,2023-12-15 16:00:00,12.1,,10.0,,,,1,28,82,108
353,2023-12-15 17:00:00,13.3,,14.0,,,,1,28,83,134
354,2023-12-15 18:00:00,11.7,,,,,,1,27,92,116
355,2023-12-15 19:00:00,15.8,,7.0,,,,0,26,91,109
356,2023-12-15 20:00:00,18.2,,4.0,,,,0,26,92,107
357,2023-12-15 21:00:00,22.7,,0.0,,,,0,26,94,113
358,2023-12-15 22:00:00,18.1,,3.0,,,,1,27,85,139
359,2023-12-15 23:00:00,15.9,,1.0,,,,1,27,82,131
360,2023-12-16 00:00:00,17.6,,1.0,,,,1,27,81,131
361,2023-12-16 01:00:00,12.5,,1.0,,,,1,27,83,122
362,2023-12-16 02:00:00,15.2,,4.0,,,,1,27,83,138
363,2023-12-16 03:00:00,12.2,,0.0,,,,1,27,81,153
364,2023-12-16 04:00:00,13.0,,9.0,,,,1,27,79,153
365,2023-12-16 05:00:00,12.1,,0.0,,,,1,27,78,175
366,2023-12-16 06:00:00,13.7,,0.0,,,,1,27,77,169
367,2023-12-16 07:00:00,12.6,,7.0,,,,1,28,76,130
368,2023-12-16 08:00:00,11.4,,14.0,,,,1,29,72,121
369,2023-12-16 09:00:00,11.0,,2.0,,,,1,29,70,128
370,2023-12-16 10:00:00,13.7,,4.0,,,,1,30,65,147
371,2023-12-16 11:00:00,12.8,,0.0,,,,1,31,62,151
372,2023-12-16 12:00:00,14.0,,23.0,,,,1,31,59,179
373,2023-12-16 13:00:00,14.4,,20.0,,,,1,31,57,178
374,2023-12-16 14:00:00,13.0,,2.0,,,,1,31,57,173
375,2023-12-16 15:00:00,12.8,,25.0,,,,1,31,58,204
376,2023-12-16 16:00:00,13.6,,8.0,,,,1,30,62,219
377,2023-12-16 17:00:00,15.6,,1.0,,,,1,29,68,184
378,2023-12-16 18:00:00,16.5,,0.0,,,,1,28,74,155
379,2023-12-16 19:00:00,17.7,,,,,,1,28,75,174
380,2023-12-16 20:00:00,15.6,,20.0,,,,1,28,75,169
381,2023-12-16 21:00:00,14.7,,3.0,,,,1,28,75,191
382,2023-12-16 22:00:00,16.3,,3.0,,,,1,28,75,140
383,2023-12-16 23:00:00,15.1,,0.0,,,,1,28,76,160
384,2023-12-17 00:00:00,14.1,,0.0,,,,1,27,79,124
385,2023-12-17 01:00:00,14.3,,3.0,,,,1,27,80,118
386,2023-12-17 02:00:00,12.6,,2.0,,,,1,27,81,113
387,2023-12-17 03:00:00,11.7,,13.0,,,,1,27,82,118
388,2023-12-17 04:00:00,12.7,,0.0,,,,1,27,82,112
389,2023-12-17 05:00:00,15.4,,1.0,,,,1,27,83,111
390,2023-12-17 06:00:00,14.1,,0.0,,,,1,27,85,108
391,2023-12-17 07:00:00,13.8,,1.0,,,,1,27,86,110
392,2023-12-17 08:00:00,15.7,,16.0,,,,1,29,77,120
393,2023-12-17 09:00:00,14.2,,1.0,,,,1,30,67,160
394,2023-12-17 10:00:00,16.1,,20.0,,,,1,32,61,135
395,2023-12-17 11:00:00,14.1,,23.0,,,,1,31,61,168
396,2023-12-17 12:00:00,13.2,,24.0,,,,1,32,55,185
397,2023-12-17 13:00:00,12.4,,16.0,,,,1,32,56,186
398,2023-12-17 14:00:00,10.4,,5.0,,,,1,32,58,193
399,2023-12-17 15:00:00,14.3,,8.0,,,,1,31,61,185
400,2023-12-17 16:00:00,15.8,,13.0,,,,1,31,64,205
401,2023-12-17 17:00:00,11.8,,23.0,,,,1,29,69,169
402,2023-12-17 18:00:00,10.7,,20.0,,,,1,29,71,134
403,2023-12-17 19:00:00,11.6,,5.0,,,,1,28,73,146
404,2023-12-17 20:00:00,13.5,,,,,,1,28,73,145
405,2023-12-17 21:00:00,13.3,,0.0,,,,1,28,74,137
406,2023-12-17 22:00:00,14.0,,3.0,,,,1,28,77,137
407,2023-12-17 23:00:00,13.1,,0.0,,,,1,27,85,125
